id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
13010,open,damianobarbati,volunter,null,volunter,null,5,2,0,null
13008,open,theyezzyman,volunter,null,volunter,null,1,0,3,null
13004,closed,aemengo,volunter,codebytere,employee,2,2,2,0,0
13002,open,ahmedmohamedali,volunter,null,volunter,null,0,null,null,null
13001,closed,zJesusJavier,volunter,brenca,volunter,0,2,0,0,0
13000,open,akontsevich,volunter,null,volunter,null,6,0,2,null
12997,open,TAGC,volunter,null,volunter,null,1,0,0,null
12996,open,happypoulp,volunter,null,volunter,null,0,null,null,null
12994,open,gioragutt,volunter,null,volunter,null,5,4,0,null
12992,closed,alexlee85,volunter,codebytere,employee,0,2,0,0,0
12990,open,ctxhou,volunter,null,volunter,null,1,0,0,null
12989,closed,zjruan,volunter,MarshallOfSound,volunter,2,4,1,0,1
12988,closed,levinium,volunter,codebytere,employee,0,7,0,0,0
12985,open,jordanbaucke,volunter,null,volunter,null,1,0,0,null
12739,closed,immanoj16,volunter,MarshallOfSound,volunter,0,1,0,0,0
12737,closed,chrilith,volunter,codebytere,employee,19,9,19,0,0
12735,closed,peererror,volunter,sofianguy,volunter,13,2,10,2,0
12733,closed,abhieee23,volunter,MarshallOfSound,volunter,0,2,0,0,0
12732,closed,Ornataweaver,volunter,MarshallOfSound,volunter,0,3,2,0,2
12730,open,simke9445,volunter,null,volunter,null,1,0,2,null
12729,closed,hlcfan,volunter,MarshallOfSound,volunter,0,1,0,0,0
12728,closed,devguysin,volunter,sofianguy,volunter,0,1,0,0,0
12726,closed,davej,volunter,codebytere,employee,21,6,18,3,0
12725,open,lmoesch,volunter,null,volunter,null,1,0,0,null
12724,closed,avi12,volunter,sofianguy,volunter,0,1,0,0,0
12722,closed,BoOpenfin,volunter,MarshallOfSound,volunter,1,3,4,0,3
12721,closed,SergeKauzunovich,volunter,SergeKauzunovich,volunter,0,2,0,0,0
12719,closed,peererror,volunter,sofianguy,volunter,0,2,0,0,0
12718,closed,chrilith,volunter,MarshallOfSound,volunter,1,2,0,1,0
12717,closed,alex1504,volunter,MarshallOfSound,volunter,0,4,0,0,0
12715,closed,renatosistemasvc,volunter,MarshallOfSound,volunter,0,3,0,0,0
12713,open,WriterDuet,volunter,null,volunter,null,1,0,0,null
12712,closed,vicatcu,volunter,nornagon,volunter,0,3,0,0,0
12711,closed,jrfitz,volunter,MarshallOfSound,volunter,0,2,0,0,0
12710,closed,timfish,volunter,codebytere,employee,7,2,0,6,0
12709,closed,xuxiaoxin,volunter,MarshallOfSound,volunter,0,2,0,0,0
10007,closed,qazbnm456,volunter,kevinsawicki,employee,4,0,null,null,null
10006,closed,zhengw060024,volunter,sofianguy,volunter,188,2,180,8,0
10005,closed,cjackson234,volunter,codebytere,employee,308,4,9,299,0
10002,closed,mtpultz,volunter,MarshallOfSound,volunter,0,2,0,0,0
10001,closed,akashnimare,volunter,shubham2892,volunter,3,3,3,0,0
10000,closed,johnryan,volunter,codebytere,employee,308,5,295,13,0
9999,closed,StefanSzakacs21,volunter,codebytere,employee,309,4,269,40,0
9998,open,dpalou,volunter,null,volunter,null,0,null,null,null
9997,closed,yangbeom,volunter,yangbeom,volunter,107,5,107,0,0
9996,closed,fomenyesu,volunter,codebytere,employee,75,2,75,0,0
9995,open,rophy,volunter,null,volunter,null,3,265,0,null
9994,open,KarenHuang2016,volunter,null,volunter,null,4,262,50,null
9993,closed,Call-Me-Uncle,volunter,pierreneter,volunter,0,2,0,0,0
9990,open,stanleyxu2005,volunter,null,volunter,null,1,0,22,null
9987,closed,andrei-cacio,volunter,zeke,employee,96,9,2,0,94
9986,closed,JackieLs,volunter,codebytere,employee,76,2,75,1,0
9985,open,dpalou,volunter,null,volunter,null,8,104,21,null
9984,open,daguej,volunter,null,volunter,null,0,null,null,null
9982,open,antonio-ramadas,volunter,null,volunter,null,4,148,139,null
9981,open,jgrosso,volunter,null,volunter,null,0,null,null,null
9980,closed,JackieLs,volunter,kevinsawicki,employee,0,3,0,0,0
9979,open,JohannBlake,volunter,null,volunter,null,0,null,null,null
9978,closed,benlancaster,volunter,benlancaster,volunter,0,1,0,0,0
9977,closed,steem,volunter,enlight,volunter,0,1,0,0,0
9976,closed,stigrv,volunter,codebytere,employee,191,1,0,191,0
9973,open,pfrazee,volunter,null,volunter,null,0,null,null,null
9971,closed,juturu,volunter,zeke,employee,49,0,null,null,null
9970,closed,hhsnopek,volunter,codebytere,employee,206,21,286,0,80
9969,open,starkos,volunter,null,volunter,null,3,36,1,null
9966,open,kochizufan,volunter,null,volunter,null,1,0,312,null
9965,closed,amircodota,volunter,MarshallOfSound,volunter,67,2,66,0,0
9960,closed,sancarn,volunter,codebytere,employee,194,1,0,194,0
9958,closed,kcampion,volunter,kcampion,volunter,2,2,0,2,0
9957,open,clintharris,volunter,null,volunter,null,0,null,null,null
9956,closed,akashnimare,volunter,akashnimare,volunter,0,3,0,0,0
9955,closed,komiIT,volunter,sofianguy,volunter,195,1,0,195,0
9954,open,mickael-kerjean,volunter,null,volunter,null,2,0,210,null
9952,open,TimNZ,volunter,null,volunter,null,1,0,4,null
9949,closed,alexstrat,volunter,zcbenz,employee,17,0,null,null,null
9948,closed,poojas2288,volunter,MarshallOfSound,volunter,0,1,0,0,0
9945,closed,ehguo,volunter,ehguo,volunter,1,3,0,1,0
9944,closed,juturu,volunter,ckerr,employee,154,0,null,null,null
9943,closed,juturu,volunter,ckerr,employee,197,19,153,78,34
9942,open,craxal,volunter,null,volunter,null,3,0,1,null
9941,open,pabloleban,volunter,null,volunter,null,0,null,null,null
9940,closed,Devhercule,volunter,kevinsawicki,employee,0,2,0,0,0
9939,closed,as-cii,employee,as-cii,employee,214,5,214,0,0
9938,closed,kongyuan,volunter,sofianguy,volunter,197,6,197,0,0
9937,closed,hanfengcan,volunter,MarshallOfSound,volunter,0,2,0,0,0
9936,open,l7s,volunter,null,volunter,null,0,null,null,null
9935,closed,JBarna,volunter,JBarna,volunter,140,3,81,59,0
9933,closed,gregor,volunter,zcbenz,employee,203,8,239,7,43
9932,closed,sqwk,volunter,sqwk,volunter,0,2,0,0,0
9930,closed,pabloleban,volunter,pabloleban,volunter,0,5,0,0,0
9928,closed,WhiteFur,volunter,kevinsawicki,employee,13,0,null,null,null
9927,closed,jorangreef,volunter,codebytere,employee,198,2,198,0,0
9926,closed,TanninOne,volunter,codebytere,employee,203,23,198,5,0
9925,closed,jakubzitny,volunter,jakubzitny,volunter,0,3,307,0,307
9924,closed,saadbinsaeed,volunter,MarshallOfSound,volunter,0,1,0,0,0
9923,closed,rishabh1403,volunter,shubham2892,volunter,2,3,1,0,0
9922,closed,zhoufeifan,volunter,enlight,volunter,27,5,27,0,0
9921,closed,w8w8w8,volunter,enlight,volunter,0,1,0,0,0
9920,closed,Amthieu,volunter,MarshallOfSound,volunter,0,13,151,0,151
9919,open,akashnimare,volunter,null,volunter,null,5,176,0,null
9917,open,maxcr,volunter,null,volunter,null,3,6,4,null
9916,open,poojas2288,volunter,null,volunter,null,3,0,248,null
9915,closed,henrywong,volunter,MarshallOfSound,volunter,0,0,null,null,null
9914,open,rensiu,volunter,null,volunter,null,1,0,58,null
9913,open,akashnimare,volunter,null,volunter,null,0,null,null,null
9912,closed,craftpip,volunter,paulcbetts,volunter,0,2,5,0,5
9911,closed,aankur,volunter,aankur,volunter,1,2,1,0,0
9910,closed,dantrevino,volunter,MarshallOfSound,volunter,0,1,0,0,0
9909,closed,cjg125,volunter,pierreneter,volunter,11,8,14,0,3
9908,open,astoilkov,volunter,null,volunter,null,0,null,null,null
9907,closed,Morphexe,volunter,enlight,volunter,0,2,0,0,0
9906,open,pravdomil,volunter,null,volunter,null,0,null,null,null
9904,closed,p3x-robot,volunter,p3x-robot,volunter,52,2,24,5,22
9902,closed,p3x-robot,volunter,codebytere,employee,203,3,181,22,0
9901,open,paulbennet,volunter,null,volunter,null,2,0,109,null
9900,open,thomaslule,volunter,null,volunter,null,3,4,4,null
9898,closed,sancarn,volunter,sancarn,volunter,0,0,null,null,null
9897,open,nkt,volunter,null,volunter,null,0,null,null,null
9895,closed,Devhercule,volunter,Devhercule,volunter,111,0,null,null,null
9894,closed,vjijardar,volunter,MarshallOfSound,volunter,0,1,0,0,0
9891,open,Devhercule,volunter,null,volunter,null,0,null,null,null
9890,open,ziedhajsalah,volunter,null,volunter,null,10,119,0,null
9889,closed,chiqui3d,volunter,chiqui3d,volunter,0,1,0,0,0
9888,open,Devhercule,volunter,null,volunter,null,2,161,0,null
9887,closed,basiclaser,volunter,MarshallOfSound,volunter,0,2,0,0,0
9886,closed,cumajkeee,volunter,codebytere,employee,216,4,117,101,2
9885,closed,Echo-Peak,volunter,MarshallOfSound,volunter,0,0,null,null,null
9884,closed,TheRolfFR,volunter,MarshallOfSound,volunter,0,1,0,0,0
9882,open,zeke,employee,null,volunter,null,6,5,0,null
9880,closed,astoilkov,volunter,MarshallOfSound,volunter,84,8,56,0,26
9879,open,bpasero,volunter,null,volunter,null,0,null,null,null
9878,closed,bpasero,volunter,bpasero,volunter,162,4,121,40,0
9877,open,bpasero,volunter,null,volunter,null,0,null,null,null
9876,open,bpasero,volunter,null,volunter,null,0,null,null,null
9875,open,bpasero,volunter,null,volunter,null,0,null,null,null
9874,closed,bpasero,volunter,codebytere,employee,315,4,230,85,0
9873,closed,oniseijin,volunter,MarshallOfSound,volunter,0,5,0,0,0
9872,closed,naheller,volunter,MarshallOfSound,volunter,0,2,0,0,0
9871,closed,akshaygore06,volunter,MarshallOfSound,volunter,0,2,0,0,0
9868,closed,timfish,volunter,timfish,volunter,0,4,0,0,0
9866,closed,yoshifan509,volunter,MarshallOfSound,volunter,0,2,0,0,0
9865,closed,poiru,volunter,poiru,volunter,0,2,0,0,0
9864,closed,ZweiZhao,volunter,enlight,volunter,0,1,0,0,0
9863,closed,lubov15911,volunter,lubov15911,volunter,0,1,0,0,0
9862,closed,aprilmintacpineda,volunter,sofianguy,volunter,205,8,0,0,205
9861,open,cumajkeee,volunter,null,volunter,null,1,0,220,null
9860,closed,amn,volunter,codebytere,employee,211,4,21,211,21
9859,closed,xinhui-hui,volunter,MarshallOfSound,volunter,0,1,0,0,0
9858,closed,CptMaumau,volunter,sofianguy,volunter,291,2,8,282,0
9854,closed,KarenHuang2016,volunter,alespergl,volunter,0,4,2,0,1
9851,closed,poiru,volunter,codebytere,employee,317,7,307,10,0
9849,open,amircodota,volunter,null,volunter,null,3,2,53,null
9846,closed,keyiis,volunter,sofianguy,volunter,206,1,0,206,0
9845,open,ronalb,volunter,null,volunter,null,2,21,64,null
9844,closed,uudiin,volunter,uudiin,volunter,0,0,null,null,null
9843,closed,Gunnthorian,volunter,sofianguy,volunter,207,1,0,207,0
9842,open,sindresorhus,volunter,null,volunter,null,5,111,0,null
9840,open,inukshuk,volunter,null,volunter,null,16,279,26,null
9839,closed,phas0r,volunter,MarshallOfSound,volunter,1,1,0,1,0
9838,closed,TheRolfFR,volunter,MarshallOfSound,volunter,0,1,0,0,0
9836,closed,TheJJ,volunter,MarshallOfSound,volunter,1,2,0,1,0
9835,open,pfrazee,volunter,null,volunter,null,3,199,90,null
9833,open,JasinYip,volunter,null,volunter,null,3,0,146,null
9832,closed,xujiahan,volunter,MarshallOfSound,volunter,0,2,0,0,0
9831,open,smilejp,volunter,null,volunter,null,3,135,35,null
9830,open,Devhercule,volunter,null,volunter,null,0,null,null,null
9827,closed,ccnokes,volunter,MarshallOfSound,volunter,0,3,0,0,0
9825,open,ccnokes,volunter,null,volunter,null,0,null,null,null
9823,closed,Thomas101,volunter,ckerr,employee,243,5,2,240,1
9822,closed,BartNetJS,volunter,MarshallOfSound,volunter,3,5,2,0,0
9821,closed,muscaiu,volunter,MarshallOfSound,volunter,0,1,0,0,0
9818,closed,saadbinsaeed,volunter,MarshallOfSound,volunter,0,1,0,0,0
9817,open,nicross,volunter,null,volunter,null,2,216,0,null
9816,closed,nicross,volunter,nicross,volunter,0,0,null,null,null
9815,closed,reblevins,volunter,codebytere,employee,226,5,159,67,0
9813,closed,cumajkeee,volunter,MarshallOfSound,volunter,0,2,0,0,0
9812,closed,doanchu,volunter,MarshallOfSound,volunter,0,1,0,0,0
9811,closed,paul321,volunter,paul321,volunter,29,4,29,0,0
9807,closed,paul321,volunter,codebytere,employee,227,2,320,1,95
9805,open,4eveRS,volunter,null,volunter,null,2,0,330,null
9804,closed,MaharishiCanada,volunter,MaharishiCanada,volunter,0,1,0,0,0
9803,closed,darshanrajani,volunter,codebytere,employee,227,1,0,227,0
9802,closed,anilshanbhag,volunter,deepak1556,volunter,3,1,0,3,0
9799,open,Thomas101,volunter,null,volunter,null,0,null,null,null
9797,closed,doonay21,volunter,codebytere,employee,333,9,333,0,0
9796,closed,hibin101,volunter,MarshallOfSound,volunter,0,2,0,0,0
9795,closed,zombieleet,volunter,MarshallOfSound,volunter,0,5,250,0,250
9794,open,ihalip,volunter,null,volunter,null,0,null,null,null
9793,closed,kevinphelps,volunter,MarshallOfSound,volunter,0,3,0,0,0
9792,closed,stonegray,volunter,lee-dohm,employee,1,2,0,0,0
9791,open,vguerci,volunter,null,volunter,null,0,null,null,null
9790,closed,gabrielcsapo,volunter,gabrielcsapo,volunter,98,6,28,0,69
9789,closed,RickStanley,volunter,RickStanley,volunter,2,0,null,null,null
9787,closed,lonja,volunter,sofianguy,volunter,214,1,0,214,0
9786,closed,yolo2013,volunter,yolo2013,volunter,0,1,0,0,0
9785,open,snene,volunter,null,volunter,null,7,16,2,null
9783,closed,computerquip-streamlabs,volunter,computerquip-streamlabs,volunter,0,2,0,257,258
9781,open,domderen,volunter,null,volunter,null,0,null,null,null
9780,open,redloro,volunter,null,volunter,null,7,274,19,null
9779,closed,azurinko,volunter,MarshallOfSound,volunter,0,1,0,0,0
9777,open,Hazlank,volunter,null,volunter,null,7,302,3,null
9776,closed,chamerling,volunter,sofianguy,volunter,123,4,119,4,0
9775,closed,seyfert,volunter,kevinsawicki,employee,12,5,10,0,1
9774,closed,ydcoming,volunter,sofianguy,volunter,215,1,0,215,0
9773,open,LukePowell,volunter,null,volunter,null,3,0,27,null
9771,closed,aconchillo,volunter,enlight,volunter,44,4,7,36,0
9770,open,Piom,volunter,null,volunter,null,0,null,null,null
9765,open,ogo-adp,volunter,null,volunter,null,0,null,null,null
9763,closed,broros,volunter,MarshallOfSound,volunter,0,1,0,0,0
9762,closed,FaustianSpirit,volunter,enlight,volunter,43,3,43,0,0
9761,open,everrr1025,volunter,null,volunter,null,0,null,null,null
9759,open,YurySolovyov,volunter,null,volunter,null,2,0,0,null
9758,closed,VikasShashidhar,volunter,sofianguy,volunter,106,5,100,5,0
9757,closed,kcampion,volunter,kcampion,volunter,9,13,266,3,261
9756,closed,doganmurat,volunter,codebytere,employee,254,3,21,233,0
9753,closed,manspeterson,volunter,manspeterson,volunter,0,0,null,null,null
9752,closed,stephennyu,volunter,stephennyu,volunter,36,5,0,35,0
9749,closed,craxal,volunter,zeke,employee,0,2,0,0,0
9748,closed,alsoeric,volunter,alexstrat,volunter,63,1,0,23,39
9747,open,eugirdor,volunter,null,volunter,null,3,1,0,null
9746,closed,tkggusraqk,volunter,enlight,volunter,46,3,45,1,0
9744,open,cumajkeee,volunter,null,volunter,null,2,75,0,null
9742,closed,algv,volunter,codebytere,employee,219,0,null,null,null
9740,open,seanzer,volunter,null,volunter,null,0,null,null,null
9737,open,Ingrim4,volunter,null,volunter,null,0,null,null,null
9736,open,pwnsdx,volunter,null,volunter,null,1,0,57,null
9735,open,igorshevach,volunter,null,volunter,null,0,null,null,null
9732,closed,alexlitty,volunter,alexlitty,volunter,84,1,0,84,0
9731,open,igogo5yo,volunter,null,volunter,null,0,null,null,null
9729,open,bpasero,volunter,null,volunter,null,0,null,null,null
9728,open,giuscri,volunter,null,volunter,null,0,null,null,null
9727,open,royzuo,volunter,null,volunter,null,0,null,null,null
9726,closed,shaniAlgazi,volunter,codebytere,employee,232,1,0,232,0
9723,closed,yrahul3910,volunter,MarshallOfSound,volunter,0,1,0,0,0
9722,closed,Valder-Dev,volunter,MarshallOfSound,volunter,0,3,1,0,1
9720,open,romaincointepas,volunter,null,volunter,null,3,0,0,null
9719,open,romaincointepas,volunter,null,volunter,null,5,227,0,null
9718,closed,crylg,volunter,MarshallOfSound,volunter,0,1,0,0,0
9717,closed,javan,volunter,kevinsawicki,employee,5,4,5,0,0
9715,closed,talhaanees,volunter,enlight,volunter,51,2,50,0,0
9714,closed,algv,volunter,sofianguy,volunter,222,1,0,222,0
9713,closed,Thomas101,volunter,Thomas101,volunter,84,11,83,0,0
9712,closed,tim37021,volunter,codebytere,employee,114,6,114,0,0
9711,closed,RCD-Y,volunter,poiru,volunter,13,4,12,0,0
9710,closed,jinggk,volunter,enlight,volunter,0,3,0,0,0
9709,closed,Kurom96,volunter,kevinsawicki,employee,31,6,5,0,26
12708,closed,sysleaf,volunter,timfish,volunter,0,1,0,0,0
12707,closed,wspl,volunter,MarshallOfSound,volunter,0,3,0,0,0
12706,closed,CameronFletcher92,volunter,MarshallOfSound,volunter,6,2,1,0,4
12705,closed,WilliamHolmes,volunter,MarshallOfSound,volunter,0,3,0,0,0
12704,closed,stanleyxu2005,volunter,ckerr,employee,0,3,2,0,2
12701,open,Pephers,volunter,null,volunter,null,3,0,0,null
12700,open,aliazlan4,volunter,null,volunter,null,1,0,0,null
12698,closed,danailbd,volunter,codebytere,employee,0,3,2,0,1
12697,closed,sebakerckhof,volunter,MarshallOfSound,volunter,0,1,0,0,0
12695,open,bpasero,volunter,null,volunter,null,3,7,0,null
12693,closed,onreadystatechange,volunter,sofianguy,volunter,1,3,1,0,0
12692,closed,avi12,volunter,codebytere,employee,0,2,0,0,0
