"","atom","electron","gitlfs","hubot","linguist"
"fep_median",0,0,0,0,0.464285714285714
"cep_median",0,0,0,0,0
"rep_median",0.0647856922602529,0,0,0,0
"unp_median",0,0,0,0,0
"map_median",0,0,0,0,0
"fep_mean",0.14786384893305,0.137676627298804,0.194714597204522,0.207340746166098,0.469299131174785
"cep_mean",0.230669566450748,0.706211075915869,0.18864657533856,0.187937852749554,0.0898522384147193
"rep_mean",0.285438122729749,0.853591095625674,0.200194381641828,0.308286199176017,0.163045538252548
"unp_mean",0.199182277500898,0.729069876926169,0.195584668704183,0.174181403101674,0.168319936698277
"map_mean",0.136844313012247,0.819879895662056,0.220859777110906,0.122253798806657,0.109483155459669
